Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1911,-.44,-.42,-.46,-.42,-.42,-.48,-.27,-.41,-.48,-.42,-.43,-.44,-.53,.05
1912,-.36,-.47,-.25,-.60,-.18,-.37,-.52,-.79,-.51,-.27,-.09,-.36,-.29,-1.63
1913,-.35,-.42,-.26,-.45,-.27,-.35,-.51,-.33,-.51,-.39,-.14,-.28,-.40,-1.04
1914,-.15,-.20,-.11,-.25,-.06,-.18,-.38,-.16,-.29,-.11,-.01,-.15,-.18,-.37
1915,-.14,-.14,-.12,-.24,.00,-.22,-.60,-.16,-.19,-.01,.01,-.15,-.23,-1.98
1916,-.35,-.42,-.30,-.37,-.44,-.23,-.45,-.54,-.25,-.49,-.38,-.23,-.17,-1.05
1917,-.46,-.58,-.35,-.51,-.62,-.19,-.82,-.50,-.44,-.68,-.56,-.23,-.09,.06
1918,-.30,-.40,-.20,-.41,-.33,-.14,-1.02,-.27,-.35,-.38,-.27,-.06,-.23,-.28
1919,-.27,-.35,-.19,-.44,-.19,-.22,-.71,-.56,-.31,-.23,-.15,-.14,-.32,.20
1920,-.27,-.30,-.23,-.26,-.24,-.32,-.01,-.20,-.36,-.37,-.11,-.19,-.48,-1.14
1921,-.18,-.11,-.25,.01,-.24,-.31,.02,.17,-.10,-.29,-.18,-.23,-.38,-.84
1922,-.29,-.28,-.30,-.25,-.32,-.27,-.29,-.40,-.14,-.32,-.32,-.24,-.29,-.28
1923,-.27,-.22,-.31,-.16,-.30,-.33,.17,-.15,-.26,-.32,-.28,-.26,-.41,-.55
1924,-.27,-.19,-.35,-.14,-.26,-.43,.46,-.25,-.23,-.27,-.25,-.39,-.45,-.53
1925,-.22,-.14,-.30,-.04,-.24,-.37,-.06,.18,-.19,-.28,-.20,-.24,-.55,-.86
1926,-.10,.02,-.21,.02,.02,-.40,.58,.16,-.22,.01,.03,-.35,-.45,-.64
1927,-.22,-.13,-.29,-.13,-.15,-.38,.04,-.22,-.14,-.13,-.17,-.30,-.45,-1.38
1928,-.20,-.10,-.29,-.07,-.15,-.39,.73,-.17,-.23,-.14,-.16,-.29,-.48,-2.12
1929,-.36,-.33,-.38,-.38,-.28,-.46,.16,-.62,-.39,-.27,-.29,-.43,-.44,-1.08
1930,-.15,-.01,-.28,.04,-.10,-.42,.55,.04,-.11,-.08,-.11,-.33,-.47,-2.60
1931,-.09,.05,-.21,.01,.09,-.43,.57,-.04,-.15,.12,.06,-.42,-.40,-.41
1932,-.16,-.05,-.25,.03,-.15,-.35,.50,.19,-.22,-.17,-.13,-.21,-.53,-.99
1933,-.28,-.25,-.31,-.24,-.27,-.34,-.15,-.47,-.13,-.27,-.27,-.22,-.48,-1.15
1934,-.12,.01,-.24,.17,-.23,-.26,.89,.31,-.13,-.24,-.22,-.15,-.38,-.57
1935,-.19,-.09,-.29,-.04,-.17,-.38,.36,-.05,-.16,-.15,-.19,-.30,-.42,-1.72
1936,-.14,-.03,-.26,-.03,-.12,-.30,.40,.10,-.26,-.03,-.20,-.27,-.33,-.04
1937,-.02,.13,-.17,.20,-.04,-.22,1.25,.03,-.02,.02,-.10,-.19,-.26,.36
1938,.00,.17,-.18,.39,-.22,-.10,1.51,.39,.03,-.16,-.27,-.06,-.11,-.87
1939,-.01,.10,-.12,.23,-.11,-.12,.57,.28,.08,-.10,-.12,-.04,-.19,-1.60
1940,.13,.18,.09,.11,.29,-.07,1.00,-.02,-.09,.28,.30,.03,-.20,-.06
1941,.19,.23,.17,.01,.50,-.05,.01,-.10,.08,.55,.44,.03,-.15,-.47
1942,.07,.13,.01,.13,.08,-.01,.73,-.06,.06,.13,.04,.05,-.05,-.90
1943,.09,.18,-.01,.37,-.08,.04,1.42,.28,.11,-.10,-.06,.07,.00,1.13
1944,.21,.27,.15,.38,.19,.05,1.18,.47,.09,.11,.28,.18,-.10,-.94
1945,.09,.10,.09,.11,.18,-.03,.64,-.03,.03,.10,.25,.03,.00,-1.78
1946,-.07,.03,-.17,.06,-.05,-.24,-.03,-.05,.16,-.02,-.07,-.22,-.24,-.17
1947,-.03,.08,-.13,.15,-.06,-.16,1.07,-.13,.04,-.03,-.09,-.19,-.08,-.21
1948,-.11,-.02,-.20,.13,-.18,-.24,.12,.31,.00,-.22,-.14,-.20,-.19,-1.37
1949,-.11,-.03,-.20,.11,-.19,-.23,.21,.17,.05,-.23,-.14,-.18,-.15,-1.97
1950,-.17,-.15,-.21,-.05,-.29,-.15,.20,-.31,.04,-.30,-.28,-.07,-.16,-.86
1951,-.07,.05,-.18,.08,-.06,-.23,.09,.01,.12,.00,-.11,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.09,.19,-.01,.05,-.10,-.02,-.50
1953,.08,.24,-.07,.35,.07,-.18,1.02,.35,.14,.08,.07,-.08,-.24,-1.10
1954,-.13,-.02,-.25,.07,-.21,-.22,.81,-.21,.00,-.14,-.29,-.18,-.20,-.81
1955,-.14,-.09,-.20,.04,-.34,-.06,-.24,-.11,.23,-.29,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.02,-.47,-.09,-.28,-.38,-.14,.02,.76
1957,.05,.04,.06,.03,.08,.02,.10,.22,-.11,.05,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.16,.15,.12,.26,.15,-.09,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.34,-.07,.11,.06,-.03,-.10,-.07,-.75
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.45,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.67,-.20,-.11,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,-.01
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.05
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.02,-.04,.09,-.11,.06,.11,-.22,-.13,-.07,.06,.06,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.09,.01,-.10,-.30,-.22,.03,.16,.44
1972,.01,-.18,.20,-.34,.16,.14,-.37,-.47,-.25,.06,.27,.16,-.02,.45
1973,.16,.09,.23,.10,.18,.18,.07,.27,.02,.07,.29,.22,.08,.34
1974,-.07,-.18,.03,-.15,-.20,.18,-.20,-.07,-.18,-.23,-.17,.21,-.08,.65
1975,-.01,-.05,.02,.12,-.24,.16,.09,.39,-.05,-.30,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.09,-.08,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.14,.16,.25,.16,.24,.07,.10,.22,.22,.31,.28
1978,.07,.02,.11,-.03,.08,.16,-.16,.03,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.61,.06,.09,.25,.27,.29,.33,-.21
1980,.26,.17,.35,.06,.30,.39,.25,.02,.02,.32,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.09,.78,.08,.22,.14,.28,.38,.60
1982,.14,.05,.23,-.08,.27,.18,-.40,.10,-.08,.25,.29,.18,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.58,.21,.41,.04
1984,.16,.04,.28,.02,.18,.26,.36,.08,-.13,.07,.30,.16,.32,.52
1985,.12,.00,.23,-.03,.09,.30,.38,-.27,-.01,.04,.14,.30,.44,.03
1986,.18,.13,.23,.10,.23,.20,.00,.28,.03,.18,.27,.25,.25,-.11
1987,.32,.25,.40,.04,.58,.25,-.36,.13,.12,.55,.62,.32,.25,.01
1988,.39,.37,.40,.40,.37,.39,.59,.57,.24,.32,.42,.38,.20,.87
1989,.27,.27,.27,.40,.13,.34,.32,.69,.25,.06,.19,.36,.30,.35
1990,.45,.53,.37,.63,.37,.37,.58,.88,.49,.38,.36,.38,.37,.36
1991,.40,.41,.40,.47,.36,.39,.75,.66,.26,.32,.40,.31,.29,.96
1992,.22,.14,.31,.09,.28,.27,-.17,.44,-.04,.20,.37,.20,.33,.39
1993,.23,.19,.28,.13,.32,.22,.54,.29,-.11,.29,.35,.27,.39,-.31
1994,.31,.37,.26,.43,.31,.20,.34,.50,.42,.28,.34,.26,.23,-.05
1995,.45,.58,.31,.70,.42,.22,1.31,.99,.32,.40,.44,.29,.15,.14
1996,.33,.26,.39,.23,.31,.43,.77,.17,.10,.31,.32,.33,.28,1.19
1997,.46,.52,.41,.53,.51,.32,.76,.90,.23,.50,.52,.42,.36,-.04
1998,.61,.71,.51,.78,.69,.32,.86,.94,.66,.59,.79,.39,.31,.11
1999,.38,.48,.28,.70,.20,.30,.40,.80,.74,.15,.24,.46,.19,-.01
2000,.39,.50,.28,.70,.24,.28,.97,.80,.55,.20,.27,.41,.10,.24
2001,.53,.64,.42,.80,.41,.42,1.07,.86,.68,.40,.43,.58,.24,.26
2002,.62,.71,.54,.83,.59,.47,1.26,1.00,.58,.55,.63,.49,.31,.75
2003,.61,.75,.49,.84,.63,.37,1.50,.98,.54,.61,.65,.44,.24,.38
2004,.53,.66,.41,.72,.54,.32,.47,.95,.66,.56,.52,.48,.23,-.04
2005,.67,.85,.49,1.01,.61,.41,1.99,1.22,.57,.62,.60,.49,.18,.65
2006,.63,.81,.45,.99,.54,.39,1.73,1.06,.70,.56,.53,.51,.19,.41
2007,.66,.85,.47,1.13,.45,.47,2.11,1.32,.69,.44,.46,.50,.07,1.22
2008,.54,.68,.40,.92,.37,.39,1.54,1.07,.62,.33,.40,.52,.09,.60
2009,.65,.72,.58,.78,.67,.51,1.42,.60,.68,.65,.69,.60,.15,.96
2010,.72,.90,.54,1.02,.67,.48,2.22,.86,.74,.71,.63,.63,.20,.50
2011,.61,.74,.46,.99,.36,.55,2.35,.94,.58,.39,.33,.64,.18,1.08
2012,.64,.81,.48,1.04,.52,.42,2.21,.93,.74,.48,.55,.56,.19,.40
2013,.67,.80,.55,.95,.57,.54,1.55,1.04,.69,.58,.56,.63,.23,.89
2014,.74,.92,.57,1.08,.66,.52,2.04,1.14,.73,.69,.63,.72,.18,.56
2015,.90,1.18,.62,1.32,.95,.41,2.00,1.48,1.00,.97,.92,.75,.18,-.31
2016,1.01,1.31,.72,1.55,1.00,.49,3.25,1.43,1.08,.95,1.05,.67,.26,.41
2017,.92,1.18,.66,1.39,.81,.60,2.52,1.38,1.04,.86,.75,.76,.35,.55
2018,.85,1.04,.65,1.25,.66,.69,2.14,1.09,1.06,.73,.60,.80,.38,.97
2019,.97,1.21,.74,1.42,.88,.64,2.71,1.43,1.00,.91,.86,.74,.40,.82
2020,1.01,1.36,.67,1.67,.85,.57,2.91,1.82,1.19,.89,.81,.58,.39,.90
2021,.84,1.14,.54,1.42,.64,.53,2.03,1.35,1.27,.72,.56,.72,.32,.31
